Question
Find first set bit
 Rightmost different bit 
 Check whether K-th bit is set or not 
 Toggle bits given range 
 Set kth bit 
 Power of 2 
 Bit Difference 
Rotate Bits
 Swap all odd and even bits 
 Count total set bits 
 Longest Consecutive 1s 
Sparse Number
Alone in a couple
Maximum subset XOR
