Question
 Reverse words in a given string 
 Permutations of a given string 
 Longest Palindrome in a String 
 Recursively remove all adjacent duplicates 
 Check if string is rotated by two places 
 Roman Number to Integer 
Anagram
Remove Duplicates
Form a Palindrome
Longest Distinct Characters in the string
Implement Atoi
Implement strstr
Longest Common Prefix
