Question
Depth First Traversal
Breadth First Traversal
Detect cycle in undirected graph
Detect cycle in a directed graph 
Topological sort
Find the number of islands 
Implementing Dijkstra
Minimum Swaps
Strongly Connected Components
Shortest Source to Destination Path
Find whether path exist
Minimum Cost Path
Circle of Strings
Floyd Warshall
Alien Dictionary
Snake and Ladder Problem
