Question
Minimum Operations
Max length chain
Minimum number of Coins
 Longest Common Substring 
Longest Increasing Subsequence 
Longest Common Subsequence
0 – 1 Knapsack Problem
 Maximum sum increasing subsequence 
Minimum number of jumps
 Edit Distance 
Coin Change Problem
Subset Sum Problem
Box Stacking
Rod Cutting
Path in Matrix
 Minimum sum partition 
Count number of ways to cover a distance
 Egg Dropping Puzzle 
Optimal Strategy for a Game
 Shortest Common Supersequence 
