Question
Relative Sorting
 Sorting Elements of an Array by Frequency 
Largest subarray with 0 sum
Common elements
Find all four sum numbers
Swapping pairs make sum equal
Count distinct elements in every window
Array Pair Sum Divisibility Problem
Longest consecutive subsequence
Array Subset of another array
Find all pairs with a given sum
Find first repeated character
Zero Sum Subarrays
Minimum indexed character
 Check if two arrays are equal or not 
Uncommon characters
 Smallest window in a string containing all the characters of another string 
First element to occur k times 
Check if frequencies can be equal
