Question
 Parenthesis Checker 
Next larger element
Queue using two Stacks 
Stack using two queues
Get minimum element from stack 
LRU Cache
Circular tour
First non-repeating character in a stream
Rotten Oranges
 Maximum of all subarrays of size k 
