Question
Search in a Rotated Array
Subset Sum Problem
Reverse words in a given string
"Sort an array of 0s, 1s and 2s"
Minimum number of jumps
Check for BST
Root to leaf path sum
Sum Tree
Finding middle element in a linked list
Reverse a linked list
Level order traversal in spiral form
Right View of Binary Tree 
Remove duplicate element from sorted Linked List
Merge Sort for Linked List
Count set bits in an integer
