Question
Key Pair
Is Binary Number Multiple of 3
Kadanes Algorithm
Missing number in array
Majority Element
Search in a Rotated Array
Check for BST
Finding middle element in a linked list 
Root to leaf path sum
Reverse a linked list
Remove every kth node
Merge 2 sorted linked list in reverse order
Longest Even Length Substring such that Sum of First and Second Half is same
k largest(or smallest) elements in an array  added Min Heap method
Write an Efficient Function to Convert a Binary Tree into its Mirror Tree
Determine if Two Trees are Identical
