Question
K largest elements from a big file or array
Reverse a Linked List in groups of given size
"Implement a stack with push(), pop() and min() in O(1) time"
Add two numbers represented by linked lists
Convert a Binary tree to DLL
Stock span problem
Next larger element
Edit distance
Maximum of all subarrays of size k
Pythagorean Triplet 
Print a Binary Tree in Vertical Order
Level order traversal
Smallest window in a string containing all the characters of another string
Find the number of islands
Detect and Remove Loop in a Linked List
Check if a binary tree is BST or not
Boolean Parenthesization
Arrange given numbers to form the biggest number 
Implement LRU Cache
Maximum difference between node and its ancestor in Binary Tree
