Question
Maximum of all subarrays of size k
Search in a matrix
Word Boggle
Jumping Numbers
Transform String
Solve the Sudoku
Find Nth root of M
Array Pair Sum Divisibility Problem
Largest zigzag sequence 
Maximum Intervals Overlap
Max rectangle
Maximum path sum
Maximize Dot Product
Excel Sheet  Part – 1
Probability of Knight
