Question
Fighting the darkness
Money Division
Group Anagrams Together
Pangram Strings
0 – 1 Knapsack Problem
Longest Arithmetic Progression
Next greater number set digits
Number of Coins
Check If two Line segments Intersect 
Two numbers with sum closest to zero
Parenthesis Checker
Maximum Rectangular Area in a Histogram
Smallest Positive missing number
Find the number of islands
Reverse a Linked List in groups of given size
