Question
Kadanes Algorithm
0 – 1 Knapsack Problem
Inversion of array
Consecutive 1s not allowed
Finding middle element in a linked list 
Get minimum element from stack
Left View of Binary Tree
Add two numbers represented by linked lists
Connect Nodes at Same Level
Sum of dependencies in a graph
Maximum of all subarrays of size k
Possible words from Phone digits
Reverse Level Order Traversal
Implement Queue using Stack
Maximum Width of Tree
