Question
Distinct palindromic substrings
Two water Jug problem
Minimum Cost Path
Transpose of Matrix
Smallest window in a string containing all the characters of another string
Check Mirror in N-ary tree
Longest Prefix Suffix
Maximum Difference
Nuts and Bolts Problem
N meetings in one room
String formation from substring
Longest Common Subsequence
Next Permutation
Trailing zeroes in factorial
Egg Dropping Puzzle
