Question
Element with left side smaller and right side greater
Find median in a stream
Product array puzzle
Count Occurences of Anagrams
Maximum Sub Array
Binary Array Sorting
Sort a Stack
Find the number of islands
Remove duplicates from an unsorted linked list
Implement LRU Cache
Max Rectangle
Reverse a linked list
Pairwise swap elements of a linked list by swapping data
Find the missing no in string
Depth First Traversal for a Graph
