Question
"Sort an array of 0s, 1s and 2s"
Check if a number is Bleak
Reverse words in a given string
Remove Spaces from string
Second Largest
Check if a number is power of another number
Reverse a linked list
Get minimum element from stack
BFS traversal of graph
Find median in a stream of integers
Quick Sort 
GCD of Array
LCM And GCD
Heap Sort
Bubble Sort
