Question
0 – 1 Knapsack Problem
Search in a matrix
Power of 2
Palindrome
Root to leaf path sum
Binary Search
Implement Queue using Linked List
Connect Nodes at Same Level
Remove loop in Linked List
Implement Stack using Queues
Implement Queue using Stacks
Remove duplicate element from sorted Linked List
Search in a row wise and column wise sorted matrix
Find the first repeating element in an array of integers
