Question
Find length of Loop
Implement strstr 
Min distance between two given nodes of a Binary Tree 
Delete a node from BST
Left View of Binary Tree
Intersection Point in Y Shapped Linked Lists
Check for BST
Reverse a linked list
Detect Loop in linked list
Reverse Bits
Next Permutation
Array Subset of another array
Set Bits
Find Prime numbers in a range
Subsequence matching
