Question
Count Squares
Longest Prefix Suffix
N-Queen Problem
Coin Change
Permutations of a given string
Stock buy and sell
Longest Palindrome in a String
Sum of two numbers represented as arrays
Max sum submatrix
Maximum sum Rectangle
Root to leaf path sum
Lowest Common Ancestor in a Binary Tree
Level order traversal in spiral form
Implement Stack using Queues
nth node from end of linked list
