Question
"Sort an array of 0s, 1s and 2s"
Reverse words in a given string
Reverse a linked list
Reverse a Linked List in groups of given size
Max Sum without Adjacents
Mirror Tree
Flattening a Linked List 
Check for Balanced Tree
Find the number of islands 
Coin Change
Count frequencies of all elements in array in O(1) extra space and O(n) time
Convert array into Zig-Zag fashion
Find the row with maximum number of 1s
Maximum Rectangular Area in a Histogram
