Question
Longest Common Subsequence
Maximum Index
Array to BST
Egg Dropping Puzzle
Kth smallest element
Check for BST
Finding middle element in a linked list
Reverse a linked list
Detect Loop in linked list
Run Length Encoding
Height of Binary Tree
Infix to Postfix
Diameter of Binary Tree 
Mirror Tree
Boolean Matrix Problem
