Question
Max Depth of Binary Tree
Best Time to Buy and Sell Stock atmost B times 
Anagrams
Level Order
Knight On Chess Board
Max Sum Contiguous Subarray
Largest Number
Hotel Bookings Possible
Find Permutation
Rain Water Trapped
Median of Array
